Trophy,Class Position,Car Number,Driver Name,Car Model,Tire Mfg,Region,Run 1,Run 2,Run 3,Total Time,Medal,(blank),Codriver Car Number,Driver Town,Sponsor,(unknown),Division,Run 4,Run 5,Run 6,Diff Behind Next Fastest in Class,Rank PAX,Class Position,Class,Car Number,Driver Name,Car Model,Tire Mfg,Total Time,PAX Factor,PAX Time,Diff Behind Next Fastest PAX,Diff Behind 1st Place PAX,RTP Points,Car Year,Car Model,First Name,Last Name,City,State,Rank Overall
T,2,71,John Wolf,2003 Chevrolet Corvette Z0,Multi,Central C,91.088(2),82.532,77.071,139.070,,,[171],"Raleigh, NC",DDP Yoga | BFGoodrich Racing,,Southeast,65.532(1),61.999,63.543(1),(0.265),615,2,AS,71,John Wolf,2003 Chevy Corvette Z06,Michelin,139.070,0.814,113.203,0.007,11.966,8943,2003,Chevy Corvette Z06,John,Wolf,Raleigh,NC,711
T,3,198,Vivek Goel,2009 Chevrolet Corvette Z0,BFGoodrich,Lone Star,81.646,78.853,78.124,139.323,,,[98],"Austin, TX",Beyond Seat Time,,Southwest,63.728(1),61.308,61.199,(0.253),635,3,AS,198,Vivek Goel,2009 Chevy Corvette Z06,BFGoodrich,139.323,0.814,113.409,0.000,12.172,8927,2009,Chevy Corvette Z06,Vivek,Goel,Austin,TX,727
T,4,187,Mark Sarcevicz,2002 Chevrolet Corvette Z0,Multi,New Eng,DNF,80.301,78.496,140.748,,,[87],"Bridgewater, MA",,,Northeast,67.672(2),66.829(2),62.252,(1.425),698,4,AS,187,Mark Sarcevicz,2002 Chevy Corvette Z06,Continental,140.748,0.814,114.569,0.078,13.332,8836,2002,Chevy Corvette Z06,Mark,Sarcevicz,Bridgewater,MA,789
T,5,64,Justin Neal,2007 Chevrolet Corvette Z0,Multi,Washingt,DNF,81.818,78.779,140.838,,,,"Falls Church, VA",,,Northeast,DNF,63.788,62.059,(0.090),703,5,AS,64,Justin Neal,2007 Chevy Corvette Z06,Continental,140.838,0.814,114.642,0.001,13.405,8831,2007,Chevy Corvette Z06,Justin,Neal,Falls Church,VA,796
T,6,83,Marcus Merideth,2016 Ford Mustang GT350,Multi,Detroit,85.636,82.644,79.061,142.274,,,[183],"Westland, MI",MEM Consulting,,Great Lakes,69.279(2),63.606,63.213,(1.436),769,6,AS,83,Marcus Merideth,2016 Ford Mustang GT350,Continental,142.274,0.814,115.811,0.014,14.574,8742,2016,Ford Mustang GT350,Marcus,Merideth,Westland,MI,855
T,7,78,Kit Gauthier,2017 Porsche Cayman,Bridgestone,Northwest,89.389(1),84.326,81.289,142.276,,,,"Kirkland, WA",,,NorPac,63.027,62.247,60.987,(0.002),770,7,AS,78,Kit Gauthier,2017 Porsche Cayman,Bridgestone,142.276,0.814,115.813,0.002,14.576,8741,2017,Porsche Cayman,Kit,Gauthier,Kirkland,WA,856
T,8,98,Rick Martinez,2009 Chevrolet Corvette Z0,Multi,Lone Star,89.109,82.764,79.019,142.450,,,[198],"Leander, TX",Road Trip Racing Team,,Southwest,67.322,63.431,63.498,(0.174),781,8,AS,98,Rick Martinez,2009 Chevy Corvette Z06,Continental,142.450,0.814,115.954,0.001,14.717,8731,2009,Chevy Corvette Z06,Rick,Martinez,Leander,TX,864
T,9,175,Gregory Shumaker,2017 Chevrolet Camaro SS,1Multi,Central F,85.675(1),80.095,83.899(2),142.755,,,[75],"Orlando, FL",,,Southeast,64.025,62.903,62.660,(0.305),797,9,AS,175,Gregory Shumaker,2017 Chevy Camaro SS,Continental,142.755,0.814,116.203,0.013,14.965,8712,2017,Chevy Camaro SS,Gregory,Shumaker,Orlando,FL,879
T,10,51,Jason Ruggles,2003 Chevrolet Corvette Z0,Bridgestone,Florida,95.784(2),88.027,81.787,143.491,,,[151],"Boca Raton, FL",,,Southeast,63.690,64.386(1),61.704,(0.736),846,10,AS,51,Jason Ruggles,2003 Chevy Corvette Z06,Bridgestone,143.491,0.814,116.802,0.015,15.565,8667,2003,Chevy Corvette Z06,Jason,Ruggles,Boca Raton,FL,904
T,11,11,John Ma,2006 Lotus Elise,Bridgestone,Snake Riv,90.859,85.293,80.943,143.652,,,,"Nampa, ID",dailynibbler.com,,NorPac,76.549(3),64.167,62.709,(0.161),853,11,AS,11,John Ma,2006 Lotus Elise,Bridgestone,143.652,0.814,116.933,0.043,15.696,8658,2006,Lotus Elise,John,Ma,Nampa,ID,912
T,12,176,Cody Hunt,2002 Chevrolet Corvette Z0,BFGoodrich,Washingt,91.184,DNF,82.441,143.665,,,[76],"Elkridge, MD",,,Northeast,63.415,61.224,61.362,(0.013),856,12,AS,176,Cody Hunt,2002 Chevy Corvette Z06,BFGoodrich,143.665,0.814,116.943,0.004,15.706,8657,2002,Chevy Corvette Z06,Cody,Hunt,Elkridge,MD,914
T,13,17,Troy Acosta,2011 Chevrolet Corvette Gr,BFGoodrich,Lone Star,89.111,85.186,81.588,143.757,,,[117],"AUSTIN, TX",,,Southwest,67.755(1),64.147,62.169,(0.092),864,13,AS,17,Troy Acosta,2011 Chevy Corvette GS,BFGoodrich,143.757,0.814,117.018,0.010,15.781,8651,2011,Chevy Corvette GS,Troy,Acosta,AUSTIN,TX,918
T,14,197,Landon Thompson,2013 Chevrolet Corvette,Bridgestone,Houston,DNF,82.731,86.073(2),143.922,,,[97],"Spring, TX",Alex,,Southwest,71.132(4),61.278,61.191,(0.165),874,14,AS,197,Landon Thompson,2013 Chevy Corvette,Bridgestone,143.922,0.814,117.153,0.003,15.915,8641,2013,Chevy Corvette,Landon,Thompson,Spring,TX,923
T,15,144,Johnny Foesch,2004 Chevrolet Corvette Z0,Bridgestone,Milwauke,90.576,84.960,82.155,144.147,,,[44],"Oconomowoc, WI",Big Bear Tire,,Central,64.838,62.854,61.992,(0.225),888,15,AS,144,Johnny Foesch,2004 Chevy Corvette Z06,Bridgestone,144.147,0.814,117.336,0.017,16.099,8628,2004,Chevy Corvette Z06,Johnny,Foesch,Oconomowoc,WI,937
T,16,182,Matt Jones,2010 Chevrolet Corvette GS,Bridgestone,California,DNF,83.709,84.970(1),144.246,,,[82],"San Diego, CA",StranoParts,,Southwest,66.572(2),61.297,60.537,(0.099),893,16,AS,182,Matt Jones,2010 Chevy Corvette GS,Bridgestone,144.246,0.814,117.416,0.013,16.179,8622,2010,Chevy Corvette GS,Matt,Jones,San Diego,CA,945
T,17,90,William Damhoff,2003 Chevrolet Corvette Z0,Bridgestone,Chicago,87.567,83.859,80.916,144.320,,,,"Orland Park, IL",BOR!!!!!! Racing | BDR,,Midwest,65.295,69.513(3),63.404,(0.074),896,17,AS,90,William Damhoff,2003 Chevy Corvette Z06,Bridgestone,144.320,0.814,117.476,0.033,16.239,8618,2003,Chevy Corvette Z06,William,Damhoff,Orland Park,IL,951
,18,72,Andrew Francis,2004 Chevrolet Corvette Z0,Bridgestone,Chicago,90.256,86.497(1),82.227,144.324,,,,"Palatine, IL",BOR!!!!!! Racing | BDR,,Central,63.796,63.518,62.097,(0.004),897,18,AS,72,Andrew Francis,2004 Chevy Corvette Z06,Bridgestone,144.324,0.814,117.480,0.003,16.243,8617,2004,Chevy Corvette Z06,Andrew,Francis,Palatine,IL,952
,19,56,Casey Weiss,2004 Chevrolet Corvette Z0,Bridgestone,Texas,96.318(5),86.445,81.562,144.442,,,,"Garland, TX",childsplayinc.com/smb motorsport,,Southwest,65.226,68.579(2),62.880,(0.118),906,19,AS,56,Casey Weiss,2004 Chevy Corvette Z06,Bridgestone,144.442,0.814,117.576,0.042,16.339,8610,2004,Chevy Corvette Z06,Casey,Weiss,Garland,TX,959
,20,76,Shane Chinonn-Rhoden,2002 Chevrolet Corvette Z0,BFGoodrich,Washingt,DNF,89.167(1),83.416(1),144.455,,,[176],"Laurel, MD",Black Top Racing,,Northeast,68.127,63.616(1),61.039,(0.013),908,20,AS,76,Shane Chinonn-Rhoden,2002 Chevy Corvette Z06,BFGoodrich,144.455,0.814,117.586,0.005,16.349,8610,2002,Chevy Corvette Z06,Shane,Chinonn-Rhoden,Laurel,MD,960
,21,95,William Petrow,2018 Porsche Cayman,Bridgestone*,Northern N,90.062,84.283,80.423,144.458,,,[195],"Union City, NJ",,,Northeast,66.338,64.035,DNF,(0.003),909,21,AS,95,William Petrow,2018 Porsche Cayman,Bridgestone,144.458,0.814,117.589,0.002,16.352,8609,2018,Porsche Cayman,William,Petrow,Union City,NJ,962
,22,86,John Rogers,2004 Chevrolet Corvette Z0,Bridgestone,South Ben,94.632(3),83.670,81.795,144.516,,,[186],"Granger, IN",Tire Rack,,Great Lakes,66.205(1),63.145,62.721,(0.058),913,22,AS,86,John Rogers,2004 Chevy Corvette Z06,Bridgestone,144.516,0.814,117.636,0.011,16.399,8606,2004,Chevy Corvette Z06,John,Rogers,Granger,IN,966
,23,179,Todd Kean,2006 Chevrolet Corvette Z0,BFGoodrich,New Eng,99.841(2),84.631,83.309,144.550,,,[79],"Wallingford, CT",Gfab / Thanks Erik!,,Northeast,63.779,61.241,61.305,(0.034),917,23,AS,179,Todd Kean,2006 Chevy Corvette Z06,BFGoodrich,144.550,0.814,117.664,0.002,16.427,8604,2006,Chevy Corvette Z06,Todd,Kean,Wallingford,CT,970
,24,183,Jennifer Merideth,2016 Ford Mustang GT350,Multi,Detroit,88.171(1),81.779,80.258,144.620,,,[83],"Westland, MI",MEM Consulting,,Great Lakes,67.728(1),66.031(1),64.362,(0.070),923,24,AS,183,Jennifer Merideth,2016 Ford Mustang GT350,Continental,144.620,0.814,117.721,0.015,16.484,8600,2016,Ford Mustang GT350,Jennifer,Merideth,Westland,MI,971
,25,99,Andy Seipos,2016 Chevrolet Corvette Z5,Bridgestone*,Chicago,DNF,87.182(1),82.899,145.177,M,,,"Chicago, IL",All 4 Wheels Still Well Attached,,Central,64.726,62.860,62.278,(0.557),947,25,AS,99,Andy Seipos,2016 Chevy Corvette Z5,Bridgestone,145.177,0.814,118.174,0.017,16.937,8567,2016,Chevy Corvette Z5,Andy,Seipos,Chicago,IL,991
,26,173,Kent Kroll,2007 Chevrolet Z06,BFGoodrich,Houston,90.331,85.042,82.758,145.506,,,[73],"Spring, TX",TAMSCC | RTRT,,Southwest,64.501,63.162,62.748,(0.329),969,26,AS,173,Kent Kroll,2007 Chevy Z06,BFGoodrich,145.506,0.814,118.442,0.010,17.205,8547,2007,Chevy Z06,Kent,Kroll,Spring,TX,1004
,27,89,Ron McManus,2003 Chevrolet Corvette Z0,Bridgestone,Iowa,95.766(2),88.982(1),81.367,145.692,,,,"Wappapello, MO",Me,,Midwest,77.088(2),65.826(1),64.325,(0.186),982,27,AS,89,Ron McManus,2003 Chevy Corvette Z06,Bridgestone,145.692,0.814,118.593,0.005,17.356,8536,2003,Chevy Corvette Z06,Ron,McManus,Wappapello,MO,1013
,28,75,Terry Tabor,2017 Chevrolet Camaro SS-,Multi,Central F,91.708(3),83.481,79.167,145.744,,,[175],"Palm Bay, FL",,,Southeast,68.775(2),66.577(1),DNF,(0.052),983,28,AS,75,Terry Tabor,2017 Chevy Camaro SS,Continental,145.744,0.814,118.636,0.042,17.398,8533,2017,Chevy Camaro SS,Terry,Tabor,Palm Bay,FL,1017
,29,4,Jeremy Pittenger,2003 Chevrolet C5 Z06,Bridgestone,Northern N,96.763(3),87.482,83.649,145.957,,,[104],"Newton, NJ",,,Northeast,71.633(3),63.920,62.308,(0.213),998,29,AS,4,Jeremy Pittenger,2003 Chevy C5 Z06,Bridgestone,145.957,0.814,118.809,0.003,17.572,8521,2003,Chevy C5 Z06,Jeremy,Pittenger,Newton,NJ,1025
