Trophy,Class Position,Car Number,Driver Name,Car Model,Tire Mfg,Region,Run 1,Run 2,Run 3,Total Time,Medal,(blank),Codriver Car Number,Driver Town,Sponsor,(unknown),Division,Run 4,Run 5,Run 6,Diff Behind Next Fastest in Class,Rank PAX,Class Position,Class,Car Number,Driver Name,Car Model,Tire Mfg,Total Time,PAX Factor,PAX Time,Diff Behind Next Fastest PAX,Diff Behind 1st Place PAX,RTP Points,Car Year,Car Model,First Name,Last Name,City,State,Rank Overall
,11,197,Bart Hockerman,2012 Nissan GTR,Bridgestone,Milwauke,64.322(1),DNF,61.024,117.103,,,[97],"Brookfield, WI",Bridgestone,,Great Lakes,56.079,56.348,61.732(2),(0.001),283,11,SS,197,Bart Hockerman,2012 Nissan GTR,Bridgestone,117.103,0.826,96.727,0.001,5.244,9458,2012,Nissan GTR,Bart,Hockerman,Brookfield,WI,426
,12,13,Adil Abdulali,2016 Porsche GT4,Bridgestone,New York,DNF,62.165,61.356,117.182,,,[113],"New York, NY",Axis of Oversteer,,Northeast,57.057,56.491,55.826,(0.079),292,12,SS,13,Adil Abdulali,2016 Porsche GT4,Bridgestone,117.182,0.826,96.792,0.008,5.309,9452,2016,Porsche GT4,Adil,Abdulali,New York,NY,430
,13,178,Brian Conners,2011 Porsche GT3,Bridgestone,Philadelp,64.674(1),60.540,60.425,117.298,,,[78],"Philadelphia, PA",,,Northeast,57.243,59.023(1),56.873,(0.116),310,13,SS,178,Brian Conners,2011 Porsche GT3,Bridgestone,117.298,0.826,96.888,0.005,5.405,9442,2011,Porsche GT3,Brian,Conners,Philadelphia,PA,440
,14,17,Dean Rindler,2017 Acura NSX,Bridgestone,Northwest,DNF,61.262,61.966,117.299,,,[117],"Troy, OH",HART,,Great Lakes,56.856,56.037,60.895(1),(0.001),311,14,SS,17,Dean Rindler,2017 Acura NSX,Bridgestone,117.299,0.826,96.889,0.001,5.406,9442,2017,Acura NSX,Dean,Rindler,Troy,OH,441
,15,99,Steve Waters,2017 Chevrolet Corvette,Bridgestone,Atlanta,61.082,61.207,61.556,117.988,,,,"Smyrna, GA",,,Southeast,60.719(2),56.966,56.906,(0.689),405,15,SS,99,Steve Waters,2017 Chevy Corvette,Bridgestone,117.988,0.826,97.458,0.001,5.975,9387,2017,Chevy Corvette,Steve,Waters,Smyrna,GA,484
,16,86,Randolph Petschauer,2008 Porsche 911 GT3,Bridgestone,New York,61.842,DNF,60.979,118.013,,,[186],"Bellmore, NY",,,Northeast,57.329,62.864(3),57.034,(0.025),410,16,SS,86,Randolph Petschauer,2008 Porsche 911 GT3,Bridgestone,118.013,0.826,97.479,0.000,5.995,9385,2008,Porsche 911 GT3,Randolph,Petschauer,Bellmore,NY,486
,17,71,Jon Nwanagu,Chevrolet C7GS,Bridgestone,Central C,61.236,62.997(1),62.322,118.221,,,,"Columbia, SC",,,Southeast,61.583(2),56.985,57.744,(0.208),433,17,SS,71,Jon Nwanagu,Chevy C7GS,Bridgestone,118.221,0.826,97.651,0.004,6.167,9368,,Chevy C7GS,Jon,Nwanagu,Columbia,SC,500
,18,117,Chett Wohlgamuth,2017 Acura NSX,Bridgestone,Northwest,61.528,63.870(1),61.752,118.236,,,[17],"Findlay, OH",Honda of America Racing Team,,Great Lakes,57.048,56.708,57.618,(0.015),436,18,SS,117,Chett Wohlgamuth,2017 Acura NSX,Bridgestone,118.236,0.826,97.663,0.008,6.180,9367,2017,Acura NSX,Chett,Wohlgamuth,Findlay,OH,503
,19,179,Salil Shukla,2016 Porsche GT4,Bridgestone,Colorado,61.848,61.218,61.342,118.271,,,[79],"Denver, CO",,,Rocky Moun,59.273(1),57.053,DNF,(0.035),439,19,SS,179,Salil Shukla,2016 Porsche GT4,Bridgestone,118.271,0.826,97.692,0.006,6.208,9364,2016,Porsche GT4,Salil,Shukla,Denver,CO,508
,20,186,Jeff Hurst,2007 Porsche 911 GT3,BFGoodrich,New York,DNF,62.257,64.549(1),118.381,,,[86],"Huntington Station, NY",,,Northeast,56.124,57.626,56.850,(0.110),455,20,SS,186,Jeff Hurst,2007 Porsche 911 GT3,BFGoodrich,118.381,0.826,97.783,0.023,6.299,9356,2007,Porsche 911 GT3,Jeff,Hurst,Huntington Station,NY,518
,21,79,Mark Melchior,2016 Porsche GT4,Bridgestone,Colorado,61.792,65.857(2),64.548(1),118.554,,,[179],"Arvada, CO",,,Rocky Moun,58.886(1),56.762,58.735(1),(0.173),481,21,SS,79,Mark Melchior,2016 Porsche GT4,Bridgestone,118.554,0.826,97.926,0.003,6.442,9342,2016,Porsche GT4,Mark,Melchior,Arvada,CO,531
,22,95,Stefan Frick,2017 Chevrolet Corvette GS,Bridgestone,Detroit,61.901,64.197(1),DNF,118.573,,,[195],"Royal Oak, MI",careers.gm.com,,Great Lakes,57.427,56.672,58.449,(0.019),483,22,SS,95,Stefan Frick,2017 Chevy Corvette GS,Bridgestone,118.573,0.826,97.941,0.013,6.458,9341,2017,Chevy Corvette GS,Stefan,Frick,Royal Oak,MI,535
,23,187,Jay Zelazo,2014 Porsche GT3,Bridgestone,Northwest,63.655(1),61.969,64.434(1),118.863,,,[87],"Calgary, AB",Badlands Motorsports Resort,,NorPac,67.463(4),59.323(1),56.894,(0.290),521,23,SS,187,Jay Zelazo,2014 Porsche GT3,Bridgestone,118.863,0.826,98.181,0.012,6.697,9318,2014,Porsche GT3,Jay,Zelazo,Calgary,AB,566
,24,97,Andre Piernot,2012 Nissan GT-R,Bridgestone,Milwauke,66.107(2),69.700(4),66.341(2),123.260,,,[197],"Racine, WI",Saber LLC/W.A.R.,,Great Lakes,61.608(2),57.153,57.570,(4.397),964,24,SS,97,Andre Piernot,2012 Nissan GT-R,Bridgestone,123.260,0.826,101.813,0.011,10.329,8985,2012,Nissan GT-R,Andre,Piernot,Racine,WI,923
,25,18,Bruce Cambern,2014 Porsche GT3,Bridgestone,Reno,DNF,71.112(3),67.343(1),127.854,,,[118],"Madera, CA",,,NorPac,DNF,DNF,60.511,(4.594),1152,25,SS,18,Bruce Cambern,2014 Porsche GT3,Bridgestone,127.854,0.826,105.607,0.028,14.124,8663,2014,Porsche GT3,Bruce,Cambern,Madera,CA,1145
,26,6,Juliette Harrington,2014 Porsche 2D coupe Cay,Bridgestone,Colorado,66.829,68.238(1),65.509,130.608,,,,"Boulder, CO",,,Rocky Moun,DNF,65.099(1),DNF,(2.754),1209,26,SS,6,Juliette Harrington,2014 Porsche Cayman,Bridgestone,130.608,0.826,107.882,0.055,16.399,8480,2014,Porsche Cayman,Juliette,Harrington,Boulder,CO,1205
T,1,77,Laraine Wilkinson,2015 Chevrolet Z06,Bridgestone,Atlanta,64.323,63.814,66.610(1),122.774,,,,"Atlanta, GA",Thanks BCPower!,,Southeast,59.907,59.093,58.960,,932,1,SSL,77,Laraine Wilkinson,2015 Chevy Z06,Bridgestone,122.774,0.826,101.411,0.027,9.928,9021,2015,Chevy Z06,Laraine,Wilkinson,Atlanta,GA,890
T,2,176,Kristi Brown,2016 Porsche Cayman GT4,Kumho,Northwest,64.718,64.346,65.975(1),122.821,,,[76],"Des Moines, WA",Tight-N-Tidy Racing,,NorPac,59.576,59.303,58.475,(0.047),936,2,SSL,176,Kristi Brown,2016 Cayman GT4,Kumho,122.821,0.826,101.450,0.019,9.967,9018,2016,Cayman GT4,Kristi,Brown,Des Moines,WA,894
,3,95,Sharianne Ziola,2017 Chevrolet Corvette GS,None,Detroit,68.589(1),66.053,64.717,123.223,,,[195],"Milford, MI",careers.gm.com,,Great Lakes,63.170(2),58.506,58.869,(0.402),962,3,SSL,95,Sharianne Ziola,2017 Chevy Corvette GS,N/A,123.223,0.826,101.782,0.025,10.299,8988,2017,Chevy Corvette GS,Sharianne,Ziola,Milford,MI,920
,4,87,Orieta Zelazo,2014 porche Gt3,Bridgestone,,68.620(1),66.528(1),64.957,124.561,,,,"calagry, ab",Badlands Motorsports,,,66.538(3),61.927(1),59.604,(1.338),1050,4,SSL,87,Orieta Zelazo,2014 Porche GT3,Bridgestone,124.561,0.826,102.887,0.015,11.404,8892,2014,Porche GT3,Orieta,Zelazo,calagry,ab,1009
,5,76,Wendy Gulick,2016 Porsche Cayman GT4,Kumho,Northwest,68.275(1),65.331,65.319,126.833,,,[176],"Bellevue, WA",Tight-N-Tidy Racing,,NorPac,DNF,62.098,61.514,(2.272),1123,5,SSL,76,Wendy Gulick,2016 Cayman GT4,Kumho,126.833,0.826,104.764,0.025,13.281,8732,2016,Cayman GT4,Wendy,Gulick,Bellevue,WA,1113
,6,195,Brittany Paris,2017 Chevrolet Corvette Gr,Bridgestone,Detroit,66.845,68.822(1),68.512(1),127.193,,,[95],"Milford, MI",CAREERS.GM.COM,,Great Lakes,60.348,60.517,64.587(1),(0.360),1134,6,SSL,195,Brittany Paris,2017 Chevy Corvette GS,Bridgestone,127.193,0.826,105.061,0.007,13.578,8708,2017,Chevy Corvette GS,Brittany,Paris,Milford,MI,1122
T,1,96,Jason Frank,2002 Chevrolet Corvette Z0,Bridgestone,Milwauke,63.063(1),62.546(1),60.743,116.253,,,,"Mt Pleasant, WI",Bridgestone : Exedy : SSC Tint & G,,Central,55.530,57.854(1),55.510,,96,1,AS,96,Jason Frank,2002 Chevy Corvette Z06,Bridgestone,116.253,0.819,95.211,0.009,3.728,9608,2002,Chevy Corvette Z06,Jason,Frank,Mt Pleasant,WI,368
T,2,27,Mark Daddio,2007 Chevrolet Corvette Z0,BFGoodrich,New Eng,60.807,60.683,60.524,116.693,,,,"Seymour, CT",Daddios New Auto Parts,,Northeast,58.700(1),56.706,56.169,(0.440),123,2,AS,27,Mark Daddio,2007 Chevy Corvette Z06,BFGoodrich,116.693,0.819,95.572,0.001,4.088,9572,2007,Chevy Corvette Z06,Mark,Daddio,Seymour,CT,397
T,3,82,Matt Jones,2010 Chevrolet Corvette GS,BFGoodrich,Washingt,62.989(1),62.917(1),61.033,116.951,,,,"San Diego, CA",StranoParts,,Northeast,56.763,55.918,56.084,(0.258),146,3,AS,82,Matt Jones,2010 Chevy Corvette GS,BFGoodrich,116.951,0.819,95.783,0.004,4.300,9551,2010,Chevy Corvette GS,Matt,Jones,San Diego,CA,410
T,4,94,Mike Johnson,2006 Chevrolet Corvette Z0,BFGoodrich,Blue Moun,62.969(1),61.402,61.178,117.008,,,,"Glen Allen, VA",Evolution,,Southeast,58.590(1),56.211,55.830,(0.057),151,4,AS,94,Mike Johnson,2006 Chevy Corvette Z06,BFGoodrich,117.008,0.819,95.830,0.013,4.346,9546,2006,Chevy Corvette Z06,Mike,Johnson,Glen Allen,VA,415
T,5,129,Cam Withell,2004 Chevrolet Corvette,BFGoodrich,Northwest,61.910,62.796(1),60.986,117.051,,,[29],"Chestermere, AB",Carline - Mackays Contracting,,Rocky Moun,56.723,56.471,56.065,(0.043),156,5,AS,129,Cam Withell,2004 Chevy Corvette,BFGoodrich,117.051,0.819,95.865,0.001,4.381,9543,2004,Chevy Corvette,Cam,Withell,Chestermere,AB,420
T,6,198,Landon Thompson,2013 Chevrolet Corvette,Bridgestone,Houston,61.109,63.021(1),63.404(1),117.394,,,[98],"Spring, TX",Alex,,Southwest,56.301,56.301,56.285,(0.343),189,6,AS,198,Landon Thompson,2013 Chevy Corvette,Bridgestone,117.394,0.819,96.146,0.000,4.662,9515,2013,Chevy Corvette,Landon,Thompson,Spring,TX,444
T,7,88,John Wolf,2003 Chevrolet Corvette Z0,BFGoodrich,Central C,63.652(1),63.554(1),61.532,118.326,,,[188],"Raleigh, NC",DDP Yoga | The Nut Cutter,,Southeast,57.244,56.794,59.178(1),(0.932),312,7,AS,88,John Wolf,2003 Chevy Corvette Z06,BFGoodrich,118.326,0.819,96.909,0.020,5.426,9440,2003,Chevy Corvette Z06,John,Wolf,Raleigh,NC,512
T,8,79,Mark Sarcevicz,2006 Chevrolet Corvette Z0,BFGoodrich,New Eng,61.603,62.748(1),61.820,118.448,,,[179],"Bridgewater, MA",,,Northeast,DNF,56.977,56.845,(0.122),322,8,AS,79,Mark Sarcevicz,2006 Chevy Corvette Z06,BFGoodrich,118.448,0.819,97.009,0.021,5.526,9430,2006,Chevy Corvette Z06,Mark,Sarcevicz,Bridgewater,MA,520
T,9,179,Erik Carlson,2006 Chevrolet Corvette Z0,BFGoodrich,New Eng,61.189,63.061(1),61.343,118.449,,,[79],"Meriden, CT",Gfab | Cartuned | Shoreline Coating,,Northeast,57.536,57.260,58.459(1),(0.001),323,9,AS,179,Erik Carlson,2006 Chevy Corvette Z06,BFGoodrich,118.449,0.819,97.010,0.001,5.526,9430,2006,Chevy Corvette Z06,Erik,Carlson,Meriden,CT,521
T,10,117,Nathan Atkins,2003 Chevrolet Corvette Z0,BFGoodrich,Washingt,61.841,61.428,63.050,118.555,,,[17],"Bel Air, MD",,,Northeast,57.375,57.274,57.127,(0.106),340,10,AS,117,Nathan Atkins,2003 Chevy Corvette Z06,BFGoodrich,118.555,0.819,97.097,0.000,5.613,9422,2003,Chevy Corvette Z06,Nathan,Atkins,Bel Air,MD,532
T,11,186,Chris Harvey,2004 Chevrolet Corvette Z0,Bridgestone,South Ben,62.406,61.476,61.426,118.578,,,[86],"Granger, IN",Tire Rack,,Great Lakes,57.828,57.744,57.152,(0.023),347,11,AS,186,Chris Harvey,2004 Chevy Corvette Z06,Bridgestone,118.578,0.819,97.115,0.001,5.632,9420,2004,Chevy Corvette Z06,Chris,Harvey,Granger,IN,536
T,12,173,Kent Kroll,2007 Chevrolet Z06,BFGoodrich,Houston,61.732,68.348(3),64.137(1),118.742,,,[73],"Spring, TX",TAMSCC,,Southwest,57.684,57.010,66.179(4),(0.164),366,12,AS,173,Kent Kroll,2007 Chevy Z06,BFGoodrich,118.742,0.819,97.250,0.004,5.766,9407,2007,Chevy Z06,Kent,Kroll,Spring,TX,554
T,13,1,Rex Ayers,2002 Chevrolet Z06,BFGoodrich,Northwest,63.822(1),61.806,61.785,118.791,,,[103],"Kennewick, WA",,,NorPac,57.006,57.059,57.408,(0.049),371,13,AS,1,Rex Ayers,2002 Chevy Z06,BFGoodrich,118.791,0.819,97.290,0.008,5.806,9403,2002,Chevy Z06,Rex,Ayers,Kennewick,WA,556
T,14,67,Jacob Hunt,2002 Chevrolet Corvette Z0,BFGoodrich,Washingt,61.727,63.755(1),62.310,118.792,,,,"Elkridge, MD",,,Northeast,57.842,57.065,60.264(2),(0.001),373,14,AS,67,Jacob Hunt,2002 Chevy Corvette Z06,BFGoodrich,118.792,0.819,97.291,0.000,5.807,9403,2002,Chevy Corvette Z06,Jacob,Hunt,Elkridge,MD,557
T,15,95,Rusty English,2004 Chevrolet Corvette Z0,BFGoodrich,Washingt,62.215,61.623,61.908,118.801,,,,"Rockville, Md",LuLaRoe Jenn English,,Southeast,57.178,60.880(2),57.213,(0.009),375,15,AS,95,Rusty English,2004 Chevy Corvette Z06,BFGoodrich,118.801,0.819,97.298,0.005,5.815,9402,2004,Chevy Corvette Z06,Rusty,English,Rockville,Md,559
,16,191,Matthew Leach,2003 Chevrolet Corvette,BFGoodrich,Lone Star,61.658,64.915(2),61.670,118.818,,,[91],"Austin, tx",MaxFlail/RTRT/On The Ledge,,Southwest,57.900,57.675,57.160,(0.017),381,16,AS,191,Matthew Leach,2003 Chevy Corvette,BFGoodrich,118.818,0.819,97.312,0.004,5.829,9401,2003,Chevy Corvette,Matthew,Leach,Austin,tx,562
,17,128,Laurence Casey,2007 Chevrolet Corvette,BFGoodrich,Washingt,65.663(2),61.858,61.641,118.830,,,[28],"Frederick, MD",Casey Design,,Northeast,61.207(2),57.231,57.189,(0.012),382,17,AS,128,Laurence Casey,2007 Chevy Corvette,BFGoodrich,118.830,0.819,97.322,0.010,5.838,9400,2007,Chevy Corvette,Laurence,Casey,Frederick,MD,563
,18,188,William Bostic,2003 Chevrolet Corvette Z0,BFGoodrich,Central C,68.485(3),63.528,61.911,118.852,,,[88],"Simpsonville, SC",DDP Yoga | Brent Venables Raci,,Southeast,56.941,58.298(1),57.717,(0.022),384,18,AS,188,William Bostic,2003 Chevy Corvette Z06,BFGoodrich,118.852,0.819,97.340,0.013,5.856,9398,2003,Chevy Corvette Z06,William,Bostic,Simpsonville,SC,565
,19,59,Jim Reyenga,2007 Chevrolet Z06,Bridgestone,Colorado,62.375,62.444,61.494,118.919,,,,"Denver, CO",,,Rocky Moun,59.481(1),57.425,58.445,(0.067),391,19,AS,59,Jim Reyenga,2007 Chevy Z06,Bridgestone,118.919,0.819,97.395,0.009,5.911,9393,2007,Chevy Z06,Jim,Reyenga,Denver,CO,573
,20,93,Ryan Davies,2004 Chevrolet Corvette,Bridgestone,Dixie,62.520,62.073,63.982(1),118.962,,,,"Falls Church, VA",StranoParts | Sun Devil Woodwork,,Southeast,63.648(3),56.889,56.906,(0.043),398,20,AS,93,Ryan Davies,2004 Chevy Corvette,Bridgestone,118.962,0.819,97.430,0.013,5.947,9390,2004,Chevy Corvette,Ryan,Davies,Falls Church,VA,576
,21,41,Glen Hernandez,2004 Chevrolet Corvette Z0,BFGoodrich,Northwest,61.987,62.001,62.186,119.094,,,,"Marysville, WA",Evolution/Chase Race/Petrel Data S,,NorPac,57.949,57.107,57.793,(0.132),419,21,AS,41,Glen Hernandez,2004 Chevy Corvette Z06,BFGoodrich,119.094,0.819,97.538,0.014,6.055,9379,2004,Chevy Corvette Z06,Glen,Hernandez,Marysville,WA,584
,22,70,Dan Simms,2009 Chevrolet Corvette Z0,Bridgestone,Chicago,65.376(1),DNF,62.020,119.121,,,,"Villa Park, IL",Prestige Worldwide|BOR!!!!!!|AAS,,Great Lakes,58.231,57.101,57.340,(0.027),424,22,AS,70,Dan Simms,2009 Chevy Corvette Z06,Bridgestone,119.121,0.819,97.560,0.004,6.077,9377,2009,Chevy Corvette Z06,Dan,Simms,Villa Park,IL,587
,23,15,Jim Fossum,2003 Chevrolet C5Z,Bridgestone,Atlanta,62.485,62.167,62.458,119.303,,,[15],"Greer, SC",Ultraclutch,,Southeast,57.462,57.352,57.136,(0.182),443,23,AS,15,Jim Fossum,2003 Chevy C5Z,Bridgestone,119.303,0.819,97.709,0.005,6.226,9363,2003,Chevy C5Z,Jim,Fossum,Greer,SC,598
,24,144,Johnny Foesch,2004 Chevrolet Corvette Z0,Bridgestone,Milwauke,61.643,61.621,63.620(1),119.314,,,[44],"Oconomowoc, WI",Big Bear Tire,,Central,DNF,57.693,59.042(1),(0.011),447,24,AS,144,Johnny Foesch,2004 Chevy Corvette Z06,Bridgestone,119.314,0.819,97.718,0.001,6.235,9362,2004,Chevy Corvette Z06,Johnny,Foesch,Oconomowoc,WI,600
,25,99,Hank Wallace,2007 Chevrolet Corvette Z0,BFGoodrich,New Eng,63.277,61.980,62.633,119.522,,,,"Framingham, MA",LangMotorsport / Stranoparts,,Northeast,57.895,59.335(1),57.542,(0.208),474,25,AS,99,Hank Wallace,2007 Chevy Corvette Z06,BFGoodrich,119.522,0.819,97.889,0.004,6.405,9346,2007,Chevy Corvette Z06,Hank,Wallace,Framingham,MA,619
,26,92,Mark Labbancz,2009 Chevrolet Corvette Z0,BFGoodrich,Northern N,62.695,62.042,61.915,119.760,,,,"Robbinsville, NJ",SJF Performance / Stranoparts.com,,Northeast,57.845,57.897,57.894,(0.238),503,26,AS,92,Mark Labbancz,2009 Chevy Corvette Z06,BFGoodrich,119.760,0.819,98.083,0.004,6.600,9327,2009,Chevy Corvette Z06,Mark,Labbancz,Robbinsville,NJ,634
,27,86,John Rogers,2004 Chevrolet Corvette Z0,Bridgestone,South Ben,DNF,62.978,62.402,119.842,,,[186],"Granger, IN",Tire Rack,,Great Lakes,57.586,57.440,57.615,(0.082),517,27,AS,86,John Rogers,2004 Chevy Corvette Z06,Bridgestone,119.842,0.819,98.151,0.012,6.667,9321,2004,Chevy Corvette Z06,John,Rogers,Granger,IN,643
,28,51,Matt Lucas,2017 Chevrolet Camaro 1L,Bridgestone,Texas,64.812(1),63.934(1),62.498,119.893,,,[151],"Keller, TX",,,Southwest,57.894,57.395,61.137(2),(0.051),527,28,AS,51,Matt Lucas,2017 Chevy Camaro 1LE,Bridgestone,119.893,0.819,98.192,0.002,6.709,9317,2017,Chevy Camaro 1LE,Matt,Lucas,Keller,TX,649
,29,76,David Corsaro,2015 Chevrolet Z/28,BFGoodrich,Northern N,DNF,62.507,62.441,119.962,,,,"Succasunna, NJ",Hamfist Racing - SJF Performance,,Northeast,59.608(1),57.684,57.521,(0.069),534,29,AS,76,David Corsaro,2015 Chevy Z/28,BFGoodrich,119.962,0.819,98.249,0.011,6.766,9311,2015,Chevy Z/28,David,Corsaro,Succasunna,NJ,655
,30,73,Zach Driver,2007 Chevrolet Corvette Z0,BFGoodrich,Houston,65.094(1),62.483,62.279,120.065,,,[173],"Houston, TX",TAMSCC,,Southwest,57.786,58.599,58.381,(0.103),551,30,AS,73,Zach Driver,2007 Chevy Corvette Z06,BFGoodrich,120.065,0.819,98.333,0.002,6.850,9303,2007,Chevy Corvette Z06,Zach,Driver,Houston,TX,666
,31,90,William Damhoff,2003 Chevrolet Corvette Z0,Bridgestone,Chicago,63.867(1),DNF,62.348,120.135,,,,"Naperville, IL",BOR!!!!!! Racing | BDR,,Midwest,58.363,57.787,58.305,(0.070),559,31,AS,90,William Damhoff,2003 Chevy Corvette Z06,Bridgestone,120.135,0.819,98.391,0.002,6.907,9298,2003,Chevy Corvette Z06,William,Damhoff,Naperville,IL,672
,32,87,Stephen Fehr,2010 Porsche Boxster S,Bridgestone,Old Domi,66.984(2),63.780,64.240(1),121.052,,,,"Chesapeake, VA",RCX Tire Blankets,,Southeast,57.272,58.901(1),61.073(2),(0.917),684,32,AS,87,Stephen Fehr,2010 Porsche Boxster S,Bridgestone,121.052,0.819,99.142,0.010,7.658,9228,2010,Porsche Boxster S,Stephen,Fehr,Chesapeake,VA,752
,33,98,Alex Dalgleish,2013 Chevrolet 427,Bridgestone,Houston,63.630,62.691,62.837,121.236,,,[198],"Magnolia, TX",0 prep racing - Strano Parts,,Southwest,58.545,60.671(1),DNF,(0.184),707,33,AS,98,Alex Dalgleish,2013 Chevy 427,Bridgestone,121.236,0.819,99.292,0.000,7.809,9214,2013,Chevy 427,Alex,Dalgleish,Magnolia,TX,766
,34,74,Robert Ritchey,2004 Chevrolet Corvette Z0,BFGoodrich,Central C,62.683,65.355(1),64.163,121.354,,,,"Enoree, SC",RPMG,,Southeast,61.442(1),DNF,58.671,(0.118),724,34,AS,74,Robert Ritchey,2004 Chevy Corvette Z06,BFGoodrich,121.354,0.819,99.389,0.006,7.906,9205,2004,Chevy Corvette Z06,Robert,Ritchey,Enoree,SC,782
,35,91,Rick Martinez,2003 Chevrolet Corvette Z0,BFGoodrich,Lone Star,62.990,63.265,64.387,121.427,,,[191],"Leander, TX",Road Trip Racing Team,,Southwest,69.791(2),59.280,58.437,(0.073),732,35,AS,91,Rick Martinez,2003 Chevy Corvette Z06,BFGoodrich,121.427,0.819,99.449,0.003,7.965,9199,2003,Chevy Corvette Z06,Rick,Martinez,Leander,TX,788
,36,29,Stephen Hui,2004 Chevrolet Corvette Z0,BFGoodrich,Northwest,63.641,64.643(1),64.704(1),121.546,,,[129],"Calgary, AB",,,NorPac,59.314(1),57.905,71.934(1),(0.119),741,36,AS,29,Stephen Hui,2004 Chevy Corvette Z06,BFGoodrich,121.546,0.819,99.546,0.022,8.063,9190,2004,Chevy Corvette Z06,Stephen,Hui,Calgary,AB,793
